geo_id,county_name,county_fips,total_pop,median_income,unemployment_rate,poverty_rate,bachelor_plus_pct,uninsured,male,female,under_5,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to59,age_60to64,age_65to74,age_75to84,age_85plus,white,black,native,asian,pacific,other,two_more,hispanic,overdose_deaths_2024,overdose_rate_per_100k,n_months_with_data,any_suppressed
0500000US01001,"Autauga County, Alabama",01001,59947,72481,2.4,11.3,29.1,7.3,48.6,51.4,6,5.5,7.4,6.8,5.2,13,13.3,13.2,7.1,6,9.3,5.6,1.3,71.4,20.4,0.1,1.1,0,1.2,5.8,59947,NA,NA,0,TRUE
0500000US01003,"Baldwin County, Alabama",01003,246989,78775,3,10.1,33.7,8.3,48.7,51.3,5.1,5.4,6.6,6,4.9,11,12.1,12.8,6.3,8,13,6.7,1.9,81.8,8.1,0.4,1,0.1,2.3,6.3,246989,55,22.268198178866264,12,FALSE
0500000US01005,"Barbour County, Alabama",01005,24643,46042,7.8,21.4,10.6,10.3,52.5,47.5,5.4,5.9,5.5,6.4,5.3,13.5,12.8,11.8,7,6.3,11.4,6.8,1.9,44,46.4,0.2,0.6,0,5.3,3.5,24643,NA,NA,0,TRUE
0500000US01007,"Bibb County, Alabama",01007,22130,52541,12.1,22.5,11.7,6.9,53.1,46.9,4.9,5.5,6.2,5.7,5.6,14.3,13.2,13.7,8.3,5.3,9.8,6.4,1.1,74,19.8,0.6,0.4,0,1.2,4,22130,NA,NA,8,TRUE
0500000US01009,"Blount County, Alabama",01009,59518,64190,5,12.9,15.8,10.3,50.2,49.8,5.7,6,7.1,6.4,5.7,11.9,12,12.8,6.6,7.3,10.9,5.9,1.7,88.1,1.2,0.4,0.1,0.1,3.9,6.2,59518,12,20.161967808058066,12,FALSE
0500000US01011,"Bullock County, Alabama",01011,10058,31310,7.2,33.3,8.1,11.8,54.4,45.6,5.4,6,6.4,8,2,11.6,14.6,14.4,6.3,6.9,11.8,5.1,1.7,22.8,69.5,0,0.4,0,3.5,3.8,10058,NA,NA,5,TRUE
0500000US01013,"Butler County, Alabama",01013,18630,44755,6.5,22.4,13.5,12.3,46.4,53.6,5.6,5.7,6.7,6,5.7,10.8,12.4,12.5,6,6.7,12.5,7.5,1.9,50.8,44.7,0.5,1.3,0,0.5,2.2,18630,NA,NA,0,TRUE
0500000US01015,"Calhoun County, Alabama",01015,116090,55029,6,17.9,20.6,10.2,48.4,51.6,5.6,5.7,6.2,7.7,7.2,12.2,12.4,11.9,6.6,6.3,11.1,5.4,1.7,70.4,21.9,0.4,0.8,0.1,2.1,4.3,116090,28,24.119217848221208,12,FALSE
0500000US01017,"Chambers County, Alabama",01017,34192,49656,5.1,15.7,14.9,11,47.4,52.6,5.6,5.3,6.5,5.6,6,13,10.8,12.6,6.5,7.8,11.9,6.4,2,55,38.4,0.1,0.2,0,2.8,3.5,34192,NA,NA,5,TRUE
0500000US01019,"Cherokee County, Alabama",01019,25443,53863,3.9,14.8,16.5,7.2,49.6,50.4,4.6,3.7,6.6,5.3,4.9,11.2,10.8,12.5,8,7.8,14.5,7.8,2.1,90.8,3.8,0.2,0.2,0,0.8,4.1,25443,NA,NA,2,TRUE
0500000US01021,"Chilton County, Alabama",01021,45992,65603,5.5,14,16.5,11.1,48.8,51.2,6.2,6.6,7.6,5.9,6.1,13,12.3,12.1,6.9,6.3,9.9,5.2,1.9,80.7,9.5,0.3,0.4,0.4,3.2,5.5,45992,NA,NA,11,TRUE
